LAKE_ID,LAT,LON,MEASUREMENT_ID,VAL_QTY,MEASUREMENT_DT
DE_BY_002,,,4,11.2,2021-05-29
DE_BY_002,,,4,12.7,2021-05-28
DE_BY_002,,,4,11.8,2021-05-27
DE_BY_002,,,4,12.2,2021-05-26
DE_BY_002,,,4,12.1,2021-05-25
DE_BY_002,,,4,11.9,2021-05-24
DE_BY_002,,,4,11.9,2021-05-23
DE_BY_002,,,4,11.5,2021-05-22
DE_BY_002,,,4,11.6,2021-05-21
DE_BY_002,,,4,11.4,2021-05-20
DE_BY_002,,,4,11.5,2021-05-19
DE_BY_002,,,4,11.8,2021-05-18
DE_BY_002,,,4,13.1,2021-05-17
DE_BY_002,,,4,13.6,2021-05-16
DE_BY_002,,,4,13.9,2021-05-15
DE_BY_002,,,4,13.0,2021-05-14
DE_BY_002,,,4,12.5,2021-05-13
DE_BY_002,,,4,12.6,2021-05-12
DE_BY_002,,,4,13.7,2021-05-11
DE_BY_002,,,4,13.7,2021-05-10
DE_BY_002,,,4,12.5,2021-05-09
DE_BY_002,,,4,10.0,2021-05-08
DE_BY_002,,,4,9.2,2021-05-07
DE_BY_002,,,4,9.4,2021-05-06
DE_BY_002,,,4,9.6,2021-05-05
DE_BY_002,,,4,9.4,2021-05-04
DE_BY_002,,,4,8.1,2021-05-03
DE_BY_002,,,4,6.9,2021-05-02
DE_BY_002,,,4,9.5,2021-05-01
DE_BY_002,,,4,10.4,2021-04-30
DE_BY_002,,,4,8.7,2021-04-29
DE_BY_002,,,4,7.9,2021-04-28
DE_BY_002,,,4,9.1,2021-04-27
DE_BY_002,,,4,10.4,2021-04-26
DE_BY_002,,,4,11.3,2021-04-25
DE_BY_002,,,4,11.3,2021-04-24
DE_BY_002,,,4,10.4,2021-04-23
DE_BY_002,,,4,11.2,2021-04-22
DE_BY_002,,,4,10.7,2021-04-21
DE_BY_002,,,4,9.1,2021-04-20
DE_BY_002,,,4,7.1,2021-04-19
DE_BY_002,,,4,6.4,2021-04-18
DE_BY_002,,,4,6.4,2021-04-17
DE_BY_002,,,4,6.4,2021-04-16
DE_BY_002,,,4,6.1,2021-04-15
DE_BY_002,,,4,5.9,2021-04-14
DE_BY_002,,,4,6.7,2021-04-13
DE_BY_002,,,4,7.9,2021-04-12
DE_BY_002,,,4,8.7,2021-04-11
DE_BY_002,,,4,7.2,2021-04-10
DE_BY_002,,,4,6.0,2021-04-09
DE_BY_002,,,4,5.4,2021-04-08
DE_BY_002,,,4,5.5,2021-04-07
DE_BY_002,,,4,6.1,2021-04-06
DE_BY_002,,,4,6.8,2021-04-05
DE_BY_002,,,4,6.1,2021-04-04
DE_BY_002,,,4,6.4,2021-04-03
DE_BY_002,,,4,9.3,2021-04-02
DE_BY_002,,,4,9.3,2021-04-01
DE_BY_005,,,4,25.6,2021-06-22
DE_BY_005,,,4,25.8,2021-06-21
DE_BY_005,,,4,25.4,2021-06-20
DE_BY_005,,,4,26.2,2021-06-19
DE_BY_005,,,4,25.8,2021-06-18
DE_BY_005,,,4,24.4,2021-06-17
DE_BY_005,,,4,23.8,2021-06-16
DE_BY_005,,,4,22.9,2021-06-15
DE_BY_005,,,4,22.7,2021-06-14
DE_BY_005,,,4,21.2,2021-06-13
DE_BY_005,,,4,22.0,2021-06-12
DE_BY_005,,,4,22.7,2021-06-11
DE_BY_005,,,4,22.2,2021-06-10
DE_BY_005,,,4,21.6,2021-06-09
DE_BY_005,,,4,21.5,2021-06-08
DE_BY_005,,,4,20.2,2021-06-07
DE_BY_005,,,4,19.5,2021-06-06
DE_BY_005,,,4,20.5,2021-06-05
DE_BY_005,,,4,21.5,2021-06-04
DE_BY_005,,,4,21.6,2021-06-03
DE_BY_005,,,4,18.8,2021-06-02
DE_BY_005,,,4,17.6,2021-06-01
DE_BY_005,,,4,17.2,2021-05-31
DE_BY_005,,,4,14.9,2021-05-30
DE_BY_005,,,4,14.8,2021-05-29
DE_BY_005,,,4,13.9,2021-05-28
DE_BY_005,,,4,13.1,2021-05-27
DE_BY_005,,,4,13.3,2021-05-26
DE_BY_005,,,4,12.3,2021-05-25
DE_BY_005,,,4,12.6,2021-05-24
DE_BY_005,,,4,12.5,2021-05-23
DE_BY_005,,,4,12.8,2021-05-22
DE_BY_005,,,4,12.3,2021-05-21
DE_BY_005,,,4,11.8,2021-05-20
DE_BY_005,,,4,11.9,2021-05-19
DE_BY_005,,,4,12.1,2021-05-18
DE_BY_005,,,4,12.9,2021-05-17
DE_BY_005,,,4,13.1,2021-05-16
DE_BY_005,,,4,12.6,2021-05-15
DE_BY_005,,,4,12.6,2021-05-14
DE_BY_005,,,4,12.4,2021-05-13
DE_BY_005,,,4,12.7,2021-05-12
DE_BY_005,,,4,15.7,2021-05-11
DE_BY_005,,,4,14.9,2021-05-10
DE_BY_005,,,4,12.5,2021-05-09
DE_BY_005,,,4,11.8,2021-05-08
DE_BY_005,,,4,10.8,2021-05-07
DE_BY_005,,,4,11.3,2021-05-06
DE_BY_005,,,4,11.6,2021-05-05
DE_BY_005,,,4,11.5,2021-05-04
DE_BY_005,,,4,11.5,2021-05-03
DE_BY_005,,,4,11.5,2021-05-02
DE_BY_005,,,4,12.8,2021-05-01
DE_BY_005,,,4,13.4,2021-04-30
DE_BY_005,,,4,12.8,2021-04-29
DE_BY_005,,,4,13.0,2021-04-28
DE_BY_005,,,4,12.3,2021-04-27
DE_BY_005,,,4,11.9,2021-04-26
DE_BY_005,,,4,11.0,2021-04-25
DE_BY_005,,,4,11.1,2021-04-24
DE_BY_005,,,4,9.6,2021-04-23
DE_BY_005,,,4,8.7,2021-04-22
DE_BY_005,,,4,9.3,2021-04-21
DE_BY_005,,,4,7.7,2021-04-20
DE_BY_005,,,4,7.5,2021-04-19
DE_BY_005,,,4,7.5,2021-04-18
DE_BY_005,,,4,7.5,2021-04-17
DE_BY_005,,,4,7.2,2021-04-16
DE_BY_005,,,4,6.9,2021-04-15
DE_BY_005,,,4,7.0,2021-04-14
DE_BY_005,,,4,6.9,2021-04-13
DE_BY_005,,,4,7.8,2021-04-12
DE_BY_005,,,4,8.6,2021-04-11
DE_BY_005,,,4,7.2,2021-04-10
DE_BY_005,,,4,5.9,2021-04-09
DE_BY_005,,,4,5.6,2021-04-08
DE_BY_005,,,4,6.0,2021-04-07
DE_BY_005,,,4,6.2,2021-04-06
DE_BY_005,,,4,7.8,2021-04-05
DE_BY_005,,,4,8.7,2021-04-04
DE_BY_005,,,4,7.9,2021-04-03
DE_BY_005,,,4,8.5,2021-04-02
DE_BY_005,,,4,8.5,2021-04-01
DE_BY_006,,,4,23.0,2021-06-22
DE_BY_006,,,4,23.9,2021-06-21
DE_BY_006,,,4,24.0,2021-06-20
DE_BY_006,,,4,24.3,2021-06-19
DE_BY_006,,,4,24.6,2021-06-18
DE_BY_006,,,4,23.0,2021-06-17
DE_BY_006,,,4,22.1,2021-06-16
DE_BY_006,,,4,20.5,2021-06-15
DE_BY_006,,,4,20.3,2021-06-14
DE_BY_006,,,4,17.2,2021-06-13
DE_BY_006,,,4,17.8,2021-06-12
DE_BY_006,,,4,20.2,2021-06-11
DE_BY_006,,,4,19.4,2021-06-10
DE_BY_006,,,4,18.5,2021-06-09
DE_BY_006,,,4,17.8,2021-06-08
DE_BY_006,,,4,16.2,2021-06-07
DE_BY_006,,,4,15.3,2021-06-06
DE_BY_006,,,4,12.6,2021-06-05
DE_BY_006,,,4,17.1,2021-06-04
DE_BY_006,,,4,18.6,2021-06-03
DE_BY_006,,,4,16.7,2021-06-02
DE_BY_006,,,4,15.5,2021-06-01
DE_BY_006,,,4,15.1,2021-05-31
DE_BY_006,,,4,13.7,2021-05-30
DE_BY_006,,,4,13.3,2021-05-29
DE_BY_006,,,4,12.3,2021-05-28
DE_BY_006,,,4,10.8,2021-05-27
DE_BY_006,,,4,11.6,2021-05-26
DE_BY_006,,,4,10.4,2021-05-25
DE_BY_006,,,4,10.9,2021-05-24
DE_BY_006,,,4,10.3,2021-05-23
DE_BY_006,,,4,10.6,2021-05-22
DE_BY_006,,,4,10.0,2021-05-21
DE_BY_006,,,4,8.8,2021-05-20
DE_BY_006,,,4,8.3,2021-05-19
DE_BY_006,,,4,7.5,2021-05-18
DE_BY_006,,,4,9.2,2021-05-17
DE_BY_006,,,4,10.6,2021-05-16
DE_BY_006,,,4,10.8,2021-05-15
DE_BY_006,,,4,9.7,2021-05-14
DE_BY_006,,,4,8.0,2021-05-13
DE_BY_006,,,4,8.0,2021-05-12
DE_BY_006,,,4,10.0,2021-05-11
DE_BY_006,,,4,9.0,2021-05-10
DE_BY_006,,,4,10.4,2021-05-09
DE_BY_006,,,4,7.9,2021-05-08
DE_BY_006,,,4,7.3,2021-05-07
DE_BY_006,,,4,8.5,2021-05-06
DE_BY_006,,,4,9.7,2021-05-05
DE_BY_006,,,4,9.7,2021-05-04
DE_BY_006,,,4,8.4,2021-05-03
DE_BY_006,,,4,7.0,2021-05-02
DE_BY_006,,,4,10.5,2021-05-01
DE_BY_006,,,4,11.3,2021-04-30
DE_BY_006,,,4,10.9,2021-04-29
DE_BY_006,,,4,12.0,2021-04-28
DE_BY_006,,,4,10.8,2021-04-27
DE_BY_006,,,4,10.1,2021-04-26
DE_BY_006,,,4,10.2,2021-04-25
DE_BY_006,,,4,9.5,2021-04-24
DE_BY_006,,,4,7.8,2021-04-23
DE_BY_006,,,4,6.9,2021-04-22
DE_BY_006,,,4,8.1,2021-04-21
DE_BY_006,,,4,6.7,2021-04-20
DE_BY_006,,,4,6.8,2021-04-19
DE_BY_006,,,4,6.9,2021-04-18
DE_BY_006,,,4,7.2,2021-04-17
DE_BY_006,,,4,6.8,2021-04-16
DE_BY_006,,,4,6.1,2021-04-15
DE_BY_006,,,4,5.5,2021-04-14
DE_BY_006,,,4,5.1,2021-04-13
DE_BY_006,,,4,5.2,2021-04-12
DE_BY_006,,,4,5.4,2021-04-11
DE_BY_006,,,4,5.3,2021-04-10
DE_BY_006,,,4,4.7,2021-04-09
DE_BY_006,,,4,4.5,2021-04-08
DE_BY_006,,,4,4.5,2021-04-07
DE_BY_006,,,4,4.5,2021-04-06
DE_BY_006,,,4,5.6,2021-04-05
DE_BY_006,,,4,6.8,2021-04-04
DE_BY_006,,,4,5.7,2021-04-03
DE_BY_006,,,4,7.2,2021-04-02
DE_BY_006,,,4,7.5,2021-04-01
DE_BY_007,,,4,22.8,2021-06-22
DE_BY_007,,,4,23.6,2021-06-21
DE_BY_007,,,4,23.8,2021-06-20
DE_BY_007,,,4,23.3,2021-06-19
DE_BY_007,,,4,21.8,2021-06-18
DE_BY_007,,,4,21.7,2021-06-17
DE_BY_007,,,4,21.5,2021-06-16
DE_BY_007,,,4,21.0,2021-06-15
DE_BY_007,,,4,19.9,2021-06-14
DE_BY_007,,,4,19.4,2021-06-13
DE_BY_007,,,4,19.4,2021-06-12
DE_BY_007,,,4,18.7,2021-06-11
DE_BY_007,,,4,18.2,2021-06-10
DE_BY_007,,,4,17.9,2021-06-09
DE_BY_007,,,4,17.5,2021-06-08
DE_BY_007,,,4,17.4,2021-06-07
DE_BY_007,,,4,17.0,2021-06-06
DE_BY_007,,,4,17.1,2021-06-05
DE_BY_007,,,4,17.0,2021-06-04
DE_BY_007,,,4,16.0,2021-06-03
DE_BY_007,,,4,14.9,2021-06-02
DE_BY_007,,,4,14.3,2021-06-01
DE_BY_007,,,4,14.3,2021-05-31
DE_BY_007,,,4,13.8,2021-05-30
DE_BY_007,,,4,13.6,2021-05-29
DE_BY_007,,,4,13.2,2021-05-28
DE_BY_007,,,4,12.5,2021-05-27
DE_BY_007,,,4,12.7,2021-05-26
DE_BY_007,,,4,13.3,2021-05-25
DE_BY_007,,,4,13.2,2021-05-24
DE_BY_007,,,4,13.3,2021-05-23
DE_BY_007,,,4,13.2,2021-05-22
DE_BY_007,,,4,12.9,2021-05-21
DE_BY_007,,,4,13.0,2021-05-20
DE_BY_007,,,4,12.8,2021-05-19
DE_BY_007,,,4,12.6,2021-05-18
DE_BY_007,,,4,13.1,2021-05-17
DE_BY_007,,,4,13.2,2021-05-16
DE_BY_007,,,4,13.5,2021-05-15
DE_BY_007,,,4,13.3,2021-05-14
DE_BY_007,,,4,13.1,2021-05-13
DE_BY_007,,,4,12.8,2021-05-12
DE_BY_007,,,4,13.5,2021-05-11
DE_BY_007,,,4,13.6,2021-05-10
DE_BY_007,,,4,13.0,2021-05-09
DE_BY_007,,,4,12.0,2021-05-08
DE_BY_007,,,4,11.3,2021-05-07
DE_BY_007,,,4,11.5,2021-05-06
DE_BY_007,,,4,12.3,2021-05-05
DE_BY_007,,,4,12.5,2021-05-04
DE_BY_007,,,4,12.5,2021-05-03
DE_BY_007,,,4,12.0,2021-05-02
DE_BY_007,,,4,12.5,2021-05-01
DE_BY_007,,,4,12.9,2021-04-30
DE_BY_007,,,4,12.1,2021-04-29
DE_BY_007,,,4,12.2,2021-04-28
DE_BY_007,,,4,12.2,2021-04-27
DE_BY_007,,,4,12.1,2021-04-26
DE_BY_007,,,4,12.1,2021-04-25
DE_BY_007,,,4,11.5,2021-04-24
DE_BY_007,,,4,11.4,2021-04-23
DE_BY_007,,,4,10.8,2021-04-22
DE_BY_007,,,4,10.0,2021-04-21
DE_BY_007,,,4,9.8,2021-04-20
DE_BY_007,,,4,9.4,2021-04-19
DE_BY_007,,,4,9.0,2021-04-18
DE_BY_007,,,4,8.9,2021-04-17
DE_BY_007,,,4,8.8,2021-04-16
DE_BY_007,,,4,8.8,2021-04-15
DE_BY_007,,,4,8.9,2021-04-14
DE_BY_007,,,4,9.1,2021-04-13
DE_BY_007,,,4,9.6,2021-04-12
DE_BY_007,,,4,9.7,2021-04-11
DE_BY_007,,,4,8.7,2021-04-10
DE_BY_007,,,4,8.1,2021-04-09
DE_BY_007,,,4,7.5,2021-04-08
DE_BY_007,,,4,7.5,2021-04-07
DE_BY_007,,,4,8.5,2021-04-06
DE_BY_007,,,4,9.5,2021-04-05
DE_BY_007,,,4,10.0,2021-04-04
DE_BY_007,,,4,9.9,2021-04-03
DE_BY_007,,,4,10.7,2021-04-02
DE_BY_007,,,4,10.3,2021-04-01
DE_BY_009,,,4,23.4,2021-06-22
DE_BY_009,,,4,23.8,2021-06-21
DE_BY_009,,,4,24.4,2021-06-20
DE_BY_009,,,4,24.8,2021-06-19
DE_BY_009,,,4,25.1,2021-06-18
DE_BY_009,,,4,24.2,2021-06-17
DE_BY_009,,,4,23.6,2021-06-16
DE_BY_009,,,4,22.4,2021-06-15
DE_BY_009,,,4,21.8,2021-06-14
DE_BY_009,,,4,21.3,2021-06-13
DE_BY_009,,,4,16.4,2021-06-12
DE_BY_009,,,4,19.0,2021-06-11
DE_BY_009,,,4,18.9,2021-06-10
DE_BY_009,,,4,18.6,2021-06-09
DE_BY_009,,,4,18.3,2021-06-08
DE_BY_009,,,4,16.7,2021-06-07
DE_BY_009,,,4,15.2,2021-06-06
DE_BY_009,,,4,14.5,2021-06-05
DE_BY_009,,,4,18.4,2021-06-04
DE_BY_009,,,4,19.4,2021-06-03
DE_BY_009,,,4,15.2,2021-06-02
DE_BY_009,,,4,16.8,2021-06-01
DE_BY_009,,,4,14.5,2021-05-31
DE_BY_009,,,4,14.0,2021-05-30
DE_BY_009,,,4,14.3,2021-05-29
DE_BY_009,,,4,14.2,2021-05-28
DE_BY_009,,,4,10.5,2021-05-27
DE_BY_009,,,4,10.3,2021-05-26
DE_BY_009,,,4,10.5,2021-05-25
DE_BY_009,,,4,10.8,2021-05-24
DE_BY_009,,,4,10.4,2021-05-23
DE_BY_009,,,4,10.1,2021-05-22
DE_BY_009,,,4,10.2,2021-05-21
DE_BY_009,,,4,10.0,2021-05-20
DE_BY_009,,,4,10.0,2021-05-19
DE_BY_009,,,4,9.8,2021-05-18
DE_BY_009,,,4,9.7,2021-05-17
DE_BY_009,,,4,10.2,2021-05-16
DE_BY_009,,,4,10.8,2021-05-15
DE_BY_009,,,4,10.2,2021-05-14
DE_BY_009,,,4,9.9,2021-05-13
DE_BY_009,,,4,9.3,2021-05-12
DE_BY_009,,,4,11.3,2021-05-11
DE_BY_009,,,4,9.5,2021-05-10
DE_BY_009,,,4,11.3,2021-05-09
DE_BY_009,,,4,8.8,2021-05-08
DE_BY_009,,,4,8.1,2021-05-07
DE_BY_009,,,4,8.5,2021-05-06
DE_BY_009,,,4,8.3,2021-05-05
DE_BY_009,,,4,9.0,2021-05-04
DE_BY_009,,,4,9.0,2021-05-03
DE_BY_009,,,4,10.1,2021-05-02
DE_BY_009,,,4,11.2,2021-05-01
DE_BY_009,,,4,10.8,2021-04-30
DE_BY_009,,,4,9.1,2021-04-29
DE_BY_009,,,4,13.0,2021-04-28
DE_BY_009,,,4,12.1,2021-04-27
DE_BY_009,,,4,11.8,2021-04-26
DE_BY_009,,,4,11.7,2021-04-25
DE_BY_009,,,4,10.3,2021-04-24
DE_BY_009,,,4,8.7,2021-04-23
DE_BY_009,,,4,7.6,2021-04-22
DE_BY_009,,,4,8.8,2021-04-21
DE_BY_009,,,4,8.0,2021-04-20
DE_BY_009,,,4,7.4,2021-04-19
DE_BY_009,,,4,7.1,2021-04-18
DE_BY_009,,,4,6.9,2021-04-17
DE_BY_009,,,4,7.0,2021-04-16
DE_BY_009,,,4,7.1,2021-04-15
DE_BY_009,,,4,7.0,2021-04-14
DE_BY_009,,,4,6.5,2021-04-13
DE_BY_009,,,4,5.5,2021-04-12
DE_BY_009,,,4,7.4,2021-04-11
DE_BY_009,,,4,5.7,2021-04-10
DE_BY_009,,,4,5.4,2021-04-09
DE_BY_009,,,4,4.9,2021-04-08
DE_BY_009,,,4,4.8,2021-04-07
DE_BY_009,,,4,5.1,2021-04-06
DE_BY_009,,,4,5.9,2021-04-05
DE_BY_009,,,4,8.1,2021-04-04
DE_BY_009,,,4,8.1,2021-04-03
DE_BY_009,,,4,7.1,2021-04-02
DE_BY_009,,,4,6.9,2021-04-01
DE_BY_010,,,4,26.5,2021-06-22
DE_BY_010,,,4,26.7,2021-06-21
DE_BY_010,,,4,26.8,2021-06-20
DE_BY_010,,,4,27.6,2021-06-19
DE_BY_010,,,4,26.3,2021-06-18
DE_BY_010,,,4,24.7,2021-06-17
DE_BY_010,,,4,23.9,2021-06-16
DE_BY_010,,,4,23.8,2021-06-15
DE_BY_010,,,4,23.6,2021-06-14
DE_BY_010,,,4,23.4,2021-06-13
DE_BY_010,,,4,23.2,2021-06-12
DE_BY_010,,,4,24.6,2021-06-11
DE_BY_010,,,4,22.5,2021-06-10
DE_BY_010,,,4,21.9,2021-06-09
DE_BY_010,,,4,22.1,2021-06-08
DE_BY_010,,,4,20.3,2021-06-07
DE_BY_010,,,4,21.2,2021-06-06
DE_BY_010,,,4,21.7,2021-06-05
DE_BY_010,,,4,21.3,2021-06-04
DE_BY_010,,,4,20.8,2021-06-03
DE_BY_010,,,4,18.5,2021-06-02
DE_BY_010,,,4,17.5,2021-06-01
DE_BY_010,,,4,16.4,2021-05-31
DE_BY_010,,,4,15.0,2021-05-30
DE_BY_010,,,4,15.0,2021-05-29
DE_BY_010,,,4,14.2,2021-05-28
DE_BY_010,,,4,14.3,2021-05-27
DE_BY_010,,,4,14.0,2021-05-26
DE_BY_010,,,4,14.7,2021-05-25
DE_BY_010,,,4,15.4,2021-05-24
